name,text_content
https://www.facebook.com/profile.php?id=100008363822642,"ਦੋਸਤ ਆ ਹੁੰਦੀ ਆ ਪਤਰਕਾਰੀ 
ਵੀਡੀਓ ਇਕ ਵਾਰ ਜਰੂਰ ਸੁਣੋ ਸੇਅਰ ਤੁਸੀ ਆ ਕਰ ਦੇਣੀ ਆ 
ਕਿਸਾਨ ਮਜ਼ਦੂਰ ਏਕਤਾ ਜਿੰਦਾਬਾਦ"
https://www.facebook.com/profile.php?id=100008363822642,"ਕਿਸਾਨ ਮੋਰਚੇ ਤੇ ਸਹੀਦ ਹੋਏ ਨੌਜਵਾਨ ਦੀ ਗੋਲੀ ਲੱਗਣ ਤੋ
ਪਹਿਲਾ ਦੀ ਵੀਡੀਓ ਤੇ ਸਹੀਦ ਹੋਏ ਤੋ ਬਾਅਦ ਦੀ ਵੀਡੀਓ 
ਨੌਜਵਾਨ ਜਿਸ ਦੇ ਗੋ+ਲੀ ਲੱਗੀ ਸ਼ੁਭਕਰਨ ਸਿੰਘ ਪਿਤਾ ਦਾ ਨਾਮ
 ਚਰਨਜੀਤ ਸਿੰਘ ਪਿੰਡ ਬੱਲੋ ਜਿਲਾ ਬਠਿੰਡਾ ਉਮਰ 21 ਤੋਂ 22 … See more"
https://www.facebook.com/profile.php?id=100008363822642,ਖਾਲਸਾ ਅਕਾਲ ਪੁਰਖ ਕੀ ਫੌਜ ਪ੍ਰਗਟਿਓ ਪ੍ਰਮਾਤਮ ਕੀ ਮੌਜ
https://www.facebook.com/profile.php?id=100008363822642,"ਕਿਸਾਨ ਮਜ਼ਦੂਰ ਏਕਤਾ ਜਿੰਦਾਬਾਦ 
ਕਿਸਾਨਾ ਦੀ ਹੋਈ ਜਿੱਤ ਜਾਣਗੇ ਦਿੱਲੀ ਸੁਪਰੀਮ ਕੋਰਟ ਦੇ ਹੁਕਮ"
https://www.facebook.com/profile.php?id=100008363822642,"ਸਿੰਘ iS ਕਿੰਗ 
ਮਰਦ ਓ ਨਹੀ ਜੋ ਚਲਦੇ ਨੇ ਜਮਾਨੇ ਕੇ ਸਾਥ ਸਾਥ 
ਮਰਦ ਓ ਨੇ ਜੋ ਜਮਾਨੇ ਕੋ ਬਦਲ ਦੇਤੇ ਹੈ 
ਆ ਨੇ ਓ ਮਰਦ ਗੁਰੂ ਦੇ ਸਿੰਘ ਜੋ ਕਿਸਾਨ ਨੇ ਤੇ ਸਰਕਾਰ ਦੇ ਨੌਕਰ ਨਹੀ ਪਹਿਲਾ ਆਪਣੇ ਹੱਕ ਨੇ ਫਿਰ ਬਾਕੀ ਸਬ ਕੁਝ 
ਆਰਮੀ ਮੇਨ ਪਾਵਰ,,, ਜੋ ਬੋਲੇ ਸੋ ਨਿਹਾਲ ਸਤਿ ਸ੍ਰੀ ਅਕਾਲ ਜੀ"
https://www.facebook.com/profile.php?id=100008363822642,"ਸੱਚ ਦਾ ਸਾਥ ਦੇਣ ਵਾਲੇ ਅਜੇ ਜਿਉਦੇ ਆ 
ਕਿਸਾਨ ਮਜਦੂਰ ਏਕਤਾ ਜਿੰਦਾਬਾਦ 
ਦੇਸ ਕਿਸੇ ਇੱਕ ਦਾ ਨਹੀ ਹੈ 
ਸਾਰੇ ਕਿਸਾਨਾ ਦਾ ਸਾਥ ਦਿਓ ਧੰਨਵਾਦ ਜੀ"
https://www.facebook.com/profile.php?id=100008363822642,ਕਿਸਾਨ ਵੀਰਾ ਨੂੰ ਬੇਨਤੀ ਆ ਕੇ ਆਪਣੇ ਚੁਣੇ ਹੋਏ ਵਿਧਾਇਕਾ ਨੂੰ ਮੰਤਰੀਆ ਨੂੰ Mp ਸਾਹਿਬਾਨ ਨੂੰ ਇੱਕ ਵਾਰ ਜਰੂਰ ਸੁਨੇਹਾ ਭੇਜੋ ਪਤਾ ਤਾ ਲੱਗੇ ਕੇ ਕੌਣ ਆਪਣਾ ਆ ਤੇ ਕੌਣ ਦਿੱਲੀ ਦਾ ਆ ਜੋ ਜਿਉਦਾ ਹੋਇਆ ਉਹ ਜਰੂਰ ਆਉ ਜੋ ਮਰ ਗਿਆ ਉਹ ਨਹੀ ਆਉਗਾ
https://www.facebook.com/profile.php?id=100008363822642,"ਰੂਹਾ ਦਾ ਪਿਆਰ 
ਸਾਡੇ ਬਹੁਤ ਸਤਿਕਾਰ ਜੋਗ ਵੱਡੇ ਵੀਰ ਮਨਜੀਤ ਸਿੰਘ ਸੈਖੋਵਾਲੀ 
ਜੋ ਆਪਣੀ ਸੰਸਾਰਿਕ ਯਾਤਰਾ ਪੂਰੀ ਕਰਕੇ ਗੁਰੂ ਚਰਨਾ ਵਿੱਚ ਜਾ ਬਿਰਾਜੇ ਹਨ ਪ੍ਮਾਤਮਾ ਓਹਨਾ ਨੂੰ ਆਪਣੇ ਚਰਨਾ ਵਿੱਚ ਨਿਵਾਸ ਬਕਸਨ ਤੇ ਪ੍ਰਵਾਰ ਨੂੰ ਭਾਣਾ ਮੰਨਣ ਦਾ ਬਲ ਬਕਸਣ।"
https://www.facebook.com/profile.php?id=100008363822642,ਦੋਸਤੋ ਸੁਣਨ ਵਿੱਚ ਆਇਆ ਭਾਰਤ ਨੇ ਪੰਜਾਬ ਨੂੰ ਅਲੱਗ ਕਰ ਦਿੱਤਾ ਕੀ  ਇਹ ਸੱਚ ਆ ???
https://www.facebook.com/profile.php?id=100008363822642,"ਬਹੁਤ ਜਨਮ ਬਿਛੁਰੇ ਥੇ ਮਾਧਉ ਇਹੁ ਜਨਮੁ ਤੁਮ੍ਹਾਰੇ ਲੇਖੇ ॥
ਮਾਧਉ = ਹੇ ਮਾਧੋ! ਤੁਮ੍ਹਾਰੇ ਲੇਖੇ = (ਭਾਵ,) ਤੇਰੀ ਯਾਦ ਵਿਚ ਬੀਤੇ।ਰਵਿਦਾਸ ਆਖਦਾ ਹੈ—ਹੇ ਮਾਧੋ! ਕਈ ਜਨਮਾਂ ਤੋਂ ਮੈਂ ਤੈਥੋਂ ਵਿਛੁੜਿਆ ਆ ਰਿਹਾ ਹਾਂ (ਮਿਹਰ ਕਰ, ਮੇਰਾ) ਇਹ ਜਨਮ ਤੇਰੀ ਯਾਦ ਵਿਚ ਬੀਤੇ;"
